game_name,review_text,final_label
Dota 2,wowoweee,neutral
Dota 2,"almost 3k hours, I'm enjoying the game even I'm a long timer dota1 player. Icefrog please comeback",positive
Dota 2,"good
",positive
Dota 2,the game,neutral
Dota 2,Let's ♥♥♥♥♥♥♥ go!!!,positive
Dota 2,"9k hours later, you'll shout at friends, get shouted at by randoms (and friends) hate yourself and your life and then have another game anyway.",negative
Dota 2,and i'm baaacckk!,positive
Dota 2,fun game if you do not take it too srsly.,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,hard to do a trade up or cant even ask for,negative
Counter-Strike 2,nice russian n words game,negative
Counter-Strike 2,9 enemies and You,negative
Counter-Strike 2,This game is so good that I want to my teammates to blitzcrank ult themselves in a bathtub,negative
Counter-Strike 2,nice,positive
Counter-Strike 2,avery match has a russian guy the cursing at you,negative
Counter-Strike 2,mari,neutral
Counter-Strike 2,very nica game i hope it doesn't suck me in and destroy my mental health :D,neutral
Counter-Strike 2,GOOD GAME!,positive
Counter-Strike 2,"It is a very nice fps game. It is competetive and chill so its good for both, competition and chilling. Its a must to try this game out.",positive
Counter-Strike 2,-rep,negative
Counter-Strike 2,ass,negative
Counter-Strike 2,cs go is better,negative
Counter-Strike 2,"is ♥♥♥♥ game but cool ♥♥♥♥♥
",neutral
Counter-Strike 2,♥♥♥♥ valve,negative
Counter-Strike 2,this game is good but i have alot of triangles on my screen cause im playing on a dell 750 gpu but if i didnt have triangles on my screen i would carry,positive
Counter-Strike 2,amazinnngggggg $),positive
Counter-Strike 2,?????,neutral
Counter-Strike 2,"This is honestly one of the worst games I’ve ever played. It wasn’t fun a year ago, it’s not fun now, and I don’t see that changing anytime soon. If you play, expect to run into a cheater every few matches. And on top of that, you have to pay just to access servers with *fewer* cheaters—not none, just slightly less. Save your time.",negative
Counter-Strike 2,WW,neutral
Counter-Strike 2,gud gama,positive
Counter-Strike 2,Good！,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,masterpiece,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,its a fun game,positive
Counter-Strike 2,melhor jogo de tiro,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,Es un juego de mierda pero como la droga,negative
Counter-Strike 2,My Life..,neutral
Counter-Strike 2,good2,positive
Counter-Strike 2,"crazy cheaters every game
",negative
Counter-Strike 2,WW,neutral
Counter-Strike 2,so good,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,best pvp     with long story,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,bankrupt,negative
Counter-Strike 2,i,neutral
Counter-Strike 2,git,neutral
Counter-Strike 2,WW,neutral
Counter-Strike 2,THEE BESTT GAMEE EVERR,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,good game retarted teamates that make you go insane while the other team is cracked,negative
Counter-Strike 2,WW,neutral
Counter-Strike 2,dawd,neutral
Counter-Strike 2,bingo bango bish bash bosh,neutral
Counter-Strike 2,everything,neutral
Counter-Strike 2,WW,neutral
Counter-Strike 2,"BEST GAME 
",positive
Counter-Strike 2,they snapped,positive
Counter-Strike 2,WW,neutral
Counter-Strike 2,25 acceptable ping doesnt get rid of the russians -rep,negative
Counter-Strike 2,"so many hackers , dont play",negative
Counter-Strike 2,good game,positive
Counter-Strike 2,wscwA,neutral
Counter-Strike 2,BY QWEX,neutral
Counter-Strike 2,best game ever!,positive
Counter-Strike 2,"gun game
 make me go
 dopamine frenzy
yeehaa",positive
Counter-Strike 2,everyone on this game is kinda gay,negative
Counter-Strike 2,1121,neutral
Counter-Strike 2,"11111111111111111
",neutral
Counter-Strike 2,"PLAYING CAS FOR THE WEEKLY DROP ITS 7-6 I KILL A 40 YEAR OLD THROUGH A SMOKE HE SAYS IM CHEATING I GET KICKED... 20 MINS WASTED 0 XP GREAT GAME...
",negative
Counter-Strike 2,"this game 
is full of rusians but its goooood
",positive
Counter-Strike 2,wow,positive
Counter-Strike 2,russia,neutral
Counter-Strike 2,AMAZING,positive
Counter-Strike 2,nice,positive
Counter-Strike 2,"nc game 
",positive
Counter-Strike 2,"Cool game to learn how to control magic, because only this way you can shoot directly in the head and not cause any damage to the enemy. I recommend it!",negative
Counter-Strike 2,yes,positive
Counter-Strike 2,"It's free, go play already",positive
Counter-Strike 2,"its is a very good game
",positive
Counter-Strike 2,W volvo,positive
Counter-Strike 2,awesome game. hoping more cheaters gets banned though for better game exp,positive
Counter-Strike 2,Sniper spotted,neutral
Counter-Strike 2,mast game,positive
Counter-Strike 2,It's alright,neutral
Counter-Strike 2,Hate love relationship with this game,neutral
Counter-Strike 2,👍,positive
Counter-Strike 2,best game.... but alot of cheater,positive
Counter-Strike 2,Blyat ♥♥♥♥♥,negative
Counter-Strike 2,класс.,positive
Counter-Strike 2,this game so much better then valorant,positive
Counter-Strike 2,"its very good game
",positive
Counter-Strike 2,ok,neutral
Counter-Strike 2,"Decent game good mechanics, hackers are everywhere though
",neutral
Counter-Strike 2,good games,positive
Counter-Strike 2,"Five strong men burst into a so-called ""plant"" where five other strong men are, and start giving each other cumshots... Or headshots, depending on who gets lucky...",neutral
Counter-Strike 2,aura avacado,neutral
Counter-Strike 2,.,neutral
Counter-Strike 2,dadadadada,neutral
Counter-Strike 2,Please ban the cheaters in a premeire mode,negative
Counter-Strike 2,Fcking hell,negative
Counter-Strike 2,"rakamakafo
",neutral
Counter-Strike 2,"The game is really cool. After 250 hours, I still haven't figured out how to walk, the top-down view is really not great. A lot of characters to choose from is really awesome. I think I'll play a couple more matches and then go into esports, they say it's cool there.",negative
Counter-Strike 2,32 Hours play with Bot,neutral
Counter-Strike 2,yes i recommend but if there was a better anticheat and less cheaters,positive
Counter-Strike 2,i like too much this game,positive
